Country,Education,Experience,Salary
Germany,Bachelor,10.0,102693.0
Netherlands,Bachelor,22.0,58368.0
Israel,Bachelor,7.0,87552.0
India,Bachelor,12.0,33508.0
Germany,Master,2.0,46482.0
Germany,Master,4.0,51888.0
India,Master,7.0,56545.0
India,Bachelor,8.0,27923.0
Germany,Bachelor,17.0,74588.0
Poland,Bachelor,3.0,16404.0
Netherlands,Post Grad,9.0,90802.0
France,Master,2.0,25944.0
Turkey,Bachelor,12.0,35508.0
Turkey,Bachelor,13.0,21696.0
Australia,Bachelor,3.0,53448.0
France,Master,16.0,86478.0
Sweden,Post Grad,6.0,52776.0
Norway,Bachelor,9.0,91711.0
Netherlands,Bachelor,7.0,68748.0
Germany,Master,20.0,129718.0
India,Bachelor,3.0,23460.0
India,Bachelor,3.0,167544.0
Switzerland,No College,6.0,147391.0
Germany,Bachelor,7.0,88640.0
Russian Federation,Master,11.0,50400.0
Sweden,No College,0.5,31908.0
France,Post Grad,15.0,48644.0
France,Post Grad,8.0,48644.0
Norway,Bachelor,4.0,93869.0
Germany,Master,2.0,55776.0
Germany,Bachelor,10.0,64859.0
India,Bachelor,14.0,83772.0
Germany,Master,10.0,129718.0
Spain,No College,7.0,54049.0
India,Bachelor,4.0,14520.0
Switzerland,Bachelor,1.0,79284.0
Switzerland,Master,4.0,121979.0
Netherlands,Master,9.0,76750.0
Switzerland,Master,4.0,111814.0
Netherlands,Bachelor,35.0,51888.0
Poland,No College,9.0,75936.0
Sweden,No College,4.0,61368.0
Germany,Master,3.0,59454.0
Switzerland,Master,9.0,147391.0
Spain,Post Grad,5.0,16212.0
Spain,No College,3.0,16860.0
Canada,Master,4.0,90758.0
Sweden,No College,17.0,63816.0
Russian Federation,Post Grad,15.0,33972.0
France,Bachelor,13.0,68100.0
India,Bachelor,3.0,19546.0
Sweden,Master,3.0,43572.0
United States of America,Master,6.0,140000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,11.0,94359.0
Germany,Bachelor,11.0,60972.0
Germany,Bachelor,5.0,84000.0
United Kingdom of Great Britain and Northern Ireland,No College,24.0,38778.0
France,Master,24.0,77831.0
United Kingdom of Great Britain and Northern Ireland,Master,11.0,64630.0
United Kingdom of Great Britain and Northern Ireland,No College,2.0,24236.0
France,Master,2.0,15564.0
United Kingdom of Great Britain and Northern Ireland,Master,29.0,90482.0
Israel,No College,8.0,108564.0
France,Master,6.0,68102.0
France,Master,9.0,46482.0
Sweden,Bachelor,4.0,81821.0
Germany,Bachelor,6.0,28536.0
Sweden,Master,13.0,83460.0
Australia,Bachelor,17.0,100214.0
Germany,Master,15.0,64860.0
India,Bachelor,3.0,27923.0
Sweden,No College,3.0,66276.0
Germany,Post Grad,5.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,77556.0
Italy,Bachelor,11.0,25944.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,20.0,84019.0
Norway,Bachelor,19.0,75527.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,68507.0
Germany,No College,17.0,77182.0
Sweden,No College,9.0,66888.0
France,Master,6.0,48644.0
Germany,Master,4.0,65940.0
United Kingdom of Great Britain and Northern Ireland,Master,16.0,62040.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,55582.0
France,No College,3.0,25944.0
Russian Federation,Bachelor,4.0,10188.0
Spain,Master,8.0,102693.0
India,Bachelor,10.0,15358.0
France,No College,12.0,53184.0
France,Master,8.0,45672.0
India,Bachelor,5.0,25131.0
Sweden,Bachelor,3.0,54912.0
Italy,Master,14.0,43239.0
Italy,No College,6.0,23352.0
France,Master,12.0,86478.0
Poland,No College,2.0,18228.0
Germany,Bachelor,4.0,75669.0
Norway,Master,20.0,64737.0
Netherlands,Bachelor,9.0,72426.0
Netherlands,Master,11.0,86478.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,89189.0
Russian Federation,Post Grad,2.0,13212.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,62045.0
Poland,Master,5.0,54672.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,90482.0
France,Master,8.0,56211.0
Italy,Master,7.0,35672.0
Sweden,Post Grad,10.0,61368.0
Sweden,Master,16.0,61368.0
India,Bachelor,13.0,58644.0
United Kingdom of Great Britain and Northern Ireland,No College,8.0,71093.0
France,Master,4.0,51887.0
United Kingdom of Great Britain and Northern Ireland,No College,7.0,45241.0
Turkey,Bachelor,2.0,19728.0
Russian Federation,Bachelor,2.0,19812.0
India,Bachelor,7.0,29316.0
United Kingdom of Great Britain and Northern Ireland,No College,26.0,116333.0
Germany,Master,3.0,75669.0
India,Bachelor,13.0,40489.0
France,Master,30.0,97288.0
India,Bachelor,4.0,25128.0
United Kingdom of Great Britain and Northern Ireland,No College,18.0,103408.0
United Kingdom of Great Britain and Northern Ireland,No College,3.0,34900.0
Netherlands,Bachelor,7.0,162147.0
Poland,Bachelor,10.0,92492.0
France,Master,7.0,43239.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,47826.0
Sweden,Bachelor,5.0,59520.0
India,Master,5.0,30716.0
India,Master,5.0,19546.0
Russian Federation,No College,3.0,18876.0
Russian Federation,Master,10.0,45480.0
Sweden,Bachelor,8.0,54000.0
Spain,Bachelor,20.0,54049.0
India,Master,9.0,32112.0
India,Bachelor,3.0,11724.0
India,Bachelor,6.0,17385.0
Netherlands,Bachelor,10.0,56751.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,3.0,55582.0
India,Bachelor,18.0,41885.0
Germany,Post Grad,24.0,90804.0
Russian Federation,Bachelor,9.0,61200.0
Sweden,Master,1.0,40910.0
Israel,Master,20.0,210132.0
Sweden,Post Grad,5.0,77316.0
Turkey,Bachelor,17.0,42000.0
India,Bachelor,2.0,13962.0
Israel,Bachelor,15.0,140088.0
Germany,Post Grad,6.0,75669.0
Poland,Master,6.0,29160.0
France,Master,22.0,33732.0
Germany,Master,10.0,75669.0
Sweden,Master,4.0,52776.0
Germany,No College,20.0,97284.0
Spain,No College,5.0,29186.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,29472.0
Spain,No College,17.0,42158.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,65922.0
Netherlands,Master,5.0,40212.0
India,Master,2.0,18150.0
United Kingdom of Great Britain and Northern Ireland,Master,7.0,90482.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,11.0,77556.0
Russian Federation,Post Grad,26.0,37752.0
Switzerland,Master,7.0,162638.0
Germany,Master,30.0,140527.0
France,Master,6.0,37834.0
Poland,Master,3.0,27923.0
Germany,Bachelor,10.0,25944.0
India,Bachelor,3.0,13962.0
Germany,No College,3.0,25944.0
Germany,Post Grad,4.0,67021.0
Germany,No College,10.0,71340.0
Spain,Post Grad,3.0,23782.0
Spain,Master,4.0,48644.0
France,Master,25.0,102693.0
United Kingdom of Great Britain and Northern Ireland,Master,19.0,103408.0
Germany,Master,5.0,84312.0
India,Bachelor,0.5,16752.0
Netherlands,Bachelor,1.0,34380.0
Spain,No College,2.0,32429.0
Turkey,Bachelor,17.0,65746.0
Germany,Bachelor,2.0,44969.0
Australia,Bachelor,1.0,108098.0
France,Bachelor,12.0,50806.0
India,Bachelor,5.0,27225.0
Russian Federation,Bachelor,4.0,28308.0
Netherlands,Bachelor,1.0,46267.0
Spain,Post Grad,7.0,25944.0
Germany,No College,3.0,45396.0
Netherlands,No College,2.0,23352.0
Turkey,No College,8.0,11832.0
Germany,Master,5.0,57072.0
India,Bachelor,7.0,16752.0
India,Bachelor,15.0,41885.0
Spain,Master,7.0,25944.0
France,Master,20.0,86478.0
Norway,Master,3.0,70132.0
Germany,No College,18.0,95126.0
India,Bachelor,7.0,29320.0
Italy,No College,10.0,15564.0
Germany,Master,12.0,77832.0
Poland,No College,2.0,24300.0
Spain,Post Grad,4.0,36753.0
Poland,Master,6.0,48600.0
Italy,Master,2.0,19452.0
Spain,No College,2.0,27025.0
France,Post Grad,10.0,118908.0
Sweden,Master,27.0,67500.0
India,Bachelor,3.0,12119.0
United Kingdom of Great Britain and Northern Ireland,No College,24.0,84019.0
United Kingdom of Great Britain and Northern Ireland,No College,7.0,31022.0
Germany,Bachelor,2.0,48648.0
Poland,Bachelor,4.0,10632.0
United Kingdom of Great Britain and Northern Ireland,No College,5.0,95361.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,20.0,71739.0
India,Bachelor,10.0,30018.0
Sweden,Bachelor,0.5,39276.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,63983.0
Germany,No College,16.0,70264.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,10.0,64630.0
France,No College,3.0,41077.0
Australia,Bachelor,5.0,86853.0
Italy,Master,3.0,25944.0
Germany,Master,10.0,81074.0
Germany,No College,20.0,38916.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,12.0,71093.0
France,Bachelor,1.0,22701.0
United States of America,Bachelor,2.0,160000.0
Brazil,Bachelor,1.0,10992.0
India,Bachelor,8.0,42583.0
Germany,Bachelor,11.0,68102.0
Germany,Bachelor,4.0,75669.0
Poland,No College,3.0,18228.0
Germany,Bachelor,3.0,43239.0
India,Bachelor,7.0,16754.0
Turkey,Bachelor,5.0,29580.0
India,Bachelor,4.0,19104.0
Germany,No College,13.0,71340.0
Sweden,No College,11.0,82236.0
Sweden,No College,10.0,50316.0
Italy,No College,3.0,46482.0
France,Bachelor,0.5,37834.0
Germany,No College,15.0,103774.0
Sweden,No College,18.0,58911.0
Russian Federation,Master,17.0,70776.0
Turkey,Post Grad,13.0,78000.0
India,Bachelor,8.0,23386.0
Germany,Master,8.0,59454.0
Germany,Master,11.0,101612.0
Germany,No College,0.5,11676.0
Germany,No College,3.0,37620.0
India,Bachelor,4.0,13740.0
Germany,Post Grad,20.0,116748.0
United States of America,Master,29.0,117600.0
Poland,Master,10.0,121500.0
India,Master,16.0,55847.0
Turkey,Bachelor,3.0,26820.0
Israel,Bachelor,2.0,71796.0
India,No College,2.0,24014.0
Germany,Bachelor,7.0,58368.0
Poland,Master,10.0,75937.0
India,Bachelor,8.0,27923.0
Norway,Bachelor,9.0,80922.0
France,Master,14.0,54049.0
United Kingdom of Great Britain and Northern Ireland,No College,4.0,64630.0
Spain,No College,4.0,64859.0
France,Master,1.0,18156.0
Germany,Bachelor,4.0,58368.0
Canada,Bachelor,29.0,132355.0
United States of America,Post Grad,7.0,165000.0
Germany,Master,10.0,65940.0
India,Bachelor,5.0,13962.0
Switzerland,Master,0.5,88536.0
India,Bachelor,6.0,25131.0
France,Master,15.0,43239.0
Sweden,Bachelor,10.0,61366.0
Netherlands,Bachelor,10.0,91883.0
United States of America,Bachelor,6.0,104000.0
Germany,Bachelor,4.0,59454.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,13.0,59459.0
Russian Federation,Post Grad,22.0,28308.0
Norway,No College,10.0,80598.0
Israel,Master,20.0,192624.0
United States of America,Bachelor,17.0,120000.0
United Kingdom of Great Britain and Northern Ireland,No College,5.0,58167.0
France,Bachelor,10.0,108098.0
Germany,Bachelor,5.0,64860.0
Brazil,Bachelor,19.0,18696.0
Germany,Master,14.0,97288.0
France,Master,7.0,114584.0
India,Bachelor,13.0,127332.0
Poland,No College,4.0,48600.0
Canada,No College,9.0,60505.0
Turkey,Bachelor,11.0,47340.0
Israel,No College,4.0,80556.0
United States of America,Bachelor,17.0,112000.0
United Kingdom of Great Britain and Northern Ireland,Master,21.0,93067.0
India,Master,2.0,19272.0
Germany,Master,10.0,95124.0
France,Bachelor,2.0,34591.0
United States of America,No College,20.0,125000.0
United States of America,Bachelor,8.0,120000.0
Italy,Bachelor,16.0,75669.0
France,Master,2.0,22056.0
Switzerland,Bachelor,6.0,121979.0
United States of America,Bachelor,25.0,147000.0
United States of America,No College,2.0,105000.0
India,Bachelor,6.0,26527.0
United States of America,No College,3.0,80000.0
Germany,Master,8.0,51888.0
Sweden,Post Grad,5.0,47868.0
Germany,No College,15.0,63778.0
France,No College,5.0,35672.0
United States of America,Bachelor,18.0,103000.0
Germany,Master,16.0,75669.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,25.0,129259.0
Poland,No College,3.0,55584.0
Spain,Bachelor,6.0,32429.0
United States of America,Bachelor,18.0,225000.0
Russian Federation,Post Grad,23.0,90000.0
United States of America,Master,2.0,73000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,93067.0
Brazil,Bachelor,2.0,20616.0
Canada,No College,4.0,52942.0
Spain,Master,12.0,49725.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,13.0,71093.0
Israel,No College,8.0,122580.0
Brazil,No College,20.0,27492.0
Russian Federation,Bachelor,11.0,30192.0
India,Bachelor,8.0,32112.0
Poland,No College,4.0,39492.0
Poland,Bachelor,3.0,27036.0
United States of America,No College,3.0,80000.0
United States of America,Master,21.0,120000.0
Spain,No College,7.0,191000.0
United States of America,Master,8.0,150000.0
Italy,No College,0.5,16860.0
Italy,Master,7.0,32429.0
United States of America,Bachelor,26.0,100000.0
Poland,Master,15.0,168000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,65922.0
Poland,No College,20.0,16704.0
United States of America,Master,2.0,75000.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,0.5,62045.0
Norway,Bachelor,4.0,71211.0
United States of America,Bachelor,15.0,160000.0
Germany,Master,3.0,58373.0
Brazil,No College,3.0,11772.0
Netherlands,Bachelor,8.0,59454.0
Spain,No College,6.0,31128.0
Israel,No College,13.0,126084.0
Norway,Master,6.0,87395.0
Brazil,Bachelor,8.0,20616.0
Sweden,Bachelor,3.0,57684.0
United States of America,Master,11.0,183000.0
Spain,Master,5.0,34591.0
Germany,Master,32.0,97288.0
United States of America,Bachelor,2.0,80000.0
Canada,No College,4.0,75631.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,11.0,139600.0
India,Bachelor,14.0,16752.0
Brazil,No College,2.0,18000.0
Germany,No College,21.0,51624.0
Germany,Master,5.0,65713.0
Germany,Post Grad,24.0,68102.0
United Kingdom of Great Britain and Northern Ireland,Master,20.0,73678.0
Spain,Master,6.0,28646.0
Israel,No College,3.0,73548.0
Russian Federation,Post Grad,6.0,47184.0
United States of America,Bachelor,13.0,128000.0
Spain,No College,5.0,54049.0
Germany,Master,8.0,70264.0
Brazil,No College,1.0,62400.0
United States of America,Master,13.0,99700.0
United States of America,No College,11.0,104000.0
India,Bachelor,2.0,12566.0
United States of America,Bachelor,3.0,130000.0
France,Master,2.0,38915.0
India,Bachelor,7.0,29320.0
Brazil,Bachelor,4.0,23088.0
United Kingdom of Great Britain and Northern Ireland,Master,8.0,168037.0
Poland,Master,6.0,18228.0
Canada,Master,4.0,58992.0
United States of America,No College,23.0,180000.0
Canada,Bachelor,5.0,96808.0
Russian Federation,Master,5.0,15096.0
United Kingdom of Great Britain and Northern Ireland,Master,24.0,142185.0
Canada,Bachelor,22.0,83194.0
Germany,Master,12.0,38916.0
Canada,Bachelor,36.0,90758.0
United Kingdom of Great Britain and Northern Ireland,Master,27.0,80141.0
United Kingdom of Great Britain and Northern Ireland,Master,6.0,116333.0
Brazil,No College,11.0,17180.0
India,Bachelor,3.0,13962.0
Russian Federation,Master,15.0,30192.0
Brazil,No College,3.0,40545.0
France,Bachelor,20.0,59454.0
Canada,No College,6.0,37810.0
United States of America,Bachelor,3.0,84420.0
United States of America,Bachelor,4.0,140000.0
United States of America,Bachelor,0.5,75000.0
United States of America,Bachelor,22.0,108000.0
United States of America,Bachelor,11.0,128000.0
Israel,No College,4.0,63036.0
United States of America,Bachelor,4.0,160000.0
United States of America,Master,20.0,250000.0
Sweden,Bachelor,11.0,67605.0
United States of America,No College,20.0,200000.0
India,Master,22.0,58644.0
Germany,Bachelor,6.0,64860.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,8.0,47826.0
India,Bachelor,7.0,23037.0
France,No College,5.0,47563.0
Germany,Master,4.0,60535.0
India,Master,2.0,22339.0
United Kingdom of Great Britain and Northern Ireland,No College,30.0,90482.0
France,Bachelor,5.0,48644.0
Germany,Master,3.0,46704.0
United States of America,Bachelor,4.0,168000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,1.0,32315.0
Germany,No College,14.0,73507.0
India,Bachelor,6.0,11728.0
Australia,Bachelor,12.0,133619.0
Canada,Bachelor,12.0,45379.0
Canada,No College,3.0,56723.0
United States of America,Bachelor,8.0,140000.0
Italy,Master,5.0,34591.0
Spain,Post Grad,2.0,31348.0
United States of America,Bachelor,2.0,52000.0
Brazil,No College,12.0,121992.0
Germany,Master,9.0,48644.0
United States of America,Bachelor,23.0,145000.0
Norway,Bachelor,3.0,64737.0
Poland,Bachelor,3.0,33408.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,43948.0
Spain,Bachelor,19.0,43239.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,77556.0
United States of America,Bachelor,10.0,120000.0
Poland,Master,14.0,63281.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,51704.0
Canada,Master,12.0,108228.0
United States of America,Bachelor,8.0,200000.0
United States of America,Master,4.0,83000.0
Russian Federation,Bachelor,5.0,37764.0
Brazil,Bachelor,8.0,65976.0
Netherlands,Bachelor,6.0,75530.0
Australia,Bachelor,7.0,133619.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,103408.0
United States of America,Master,0.5,96000.0
United States of America,Bachelor,25.0,141000.0
Norway,Bachelor,20.0,86316.0
United States of America,Post Grad,15.0,153000.0
United States of America,No College,35.0,250000.0
Israel,No College,3.0,77052.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,14.0,88543.0
United Kingdom of Great Britain and Northern Ireland,Master,0.5,71093.0
Germany,No College,5.0,59454.0
Canada,Bachelor,5.0,83951.0
India,Master,8.0,134028.0
United States of America,Bachelor,11.0,120000.0
Germany,Post Grad,10.0,140527.0
Israel,No College,7.0,140088.0
Turkey,Bachelor,1.0,17748.0
India,Bachelor,10.0,37697.0
India,Bachelor,4.0,16754.0
India,No College,4.0,13740.0
United Kingdom of Great Britain and Northern Ireland,Master,13.0,116333.0
United States of America,Bachelor,9.0,111000.0
United States of America,Master,8.0,205000.0
Germany,Bachelor,10.0,84316.0
France,Post Grad,10.0,97288.0
United States of America,Bachelor,25.0,185000.0
Norway,Master,1.0,67435.0
France,Master,0.5,45466.0
Canada,No College,8.0,71850.0
United States of America,Master,1.0,125000.0
Brazil,Master,11.0,68724.0
Spain,No College,7.0,81074.0
France,Bachelor,12.0,54049.0
France,No College,12.0,64859.0
United States of America,No College,25.0,155000.0
Russian Federation,Master,3.0,15096.0
Germany,No College,0.5,37834.0
Netherlands,Post Grad,13.0,56424.0
United States of America,No College,14.0,130000.0
United States of America,Bachelor,14.0,172000.0
France,Post Grad,3.0,35028.0
United States of America,Bachelor,9.0,230000.0
United States of America,Bachelor,7.0,171000.0
United States of America,Bachelor,9.0,90000.0
Canada,Bachelor,18.0,94539.0
United States of America,Bachelor,35.0,152250.0
United States of America,Post Grad,17.0,180000.0
United States of America,Bachelor,12.0,168000.0
United States of America,Bachelor,7.0,105000.0
France,Bachelor,15.0,75669.0
Germany,Post Grad,7.0,75669.0
Germany,Master,15.0,84316.0
Netherlands,No College,0.5,42024.0
Sweden,No College,12.0,75600.0
France,No College,14.0,45396.0
United States of America,Bachelor,4.0,55820.0
United States of America,Master,10.0,100000.0
United States of America,Bachelor,5.0,150000.0
United States of America,Bachelor,9.0,125000.0
Switzerland,Master,2.0,85380.0
France,Master,16.0,51888.0
France,Master,3.0,168037.0
Brazil,Master,21.0,54972.0
Brazil,Master,21.0,57720.0
France,Master,3.0,41077.0
United States of America,Bachelor,4.0,85000.0
Germany,Master,5.0,64859.0
Brazil,No College,12.0,24744.0
United States of America,Bachelor,4.0,75000.0
United States of America,Bachelor,3.0,49160.0
Netherlands,Bachelor,2.0,27240.0
United States of America,Bachelor,4.0,63500.0
Sweden,No College,16.0,73644.0
Brazil,Bachelor,9.0,28572.0
United States of America,Bachelor,14.0,110000.0
United Kingdom of Great Britain and Northern Ireland,No College,8.0,80787.0
Brazil,No College,10.0,46728.0
United States of America,Post Grad,5.0,194000.0
United States of America,No College,1.0,28000.0
Germany,Post Grad,10.0,54049.0
United Kingdom of Great Britain and Northern Ireland,No College,6.0,96945.0
United States of America,No College,21.0,170000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,52996.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,30.0,77556.0
France,Master,7.0,59454.0
France,Master,11.0,54049.0
United States of America,Bachelor,16.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,22.0,96945.0
Brazil,No College,0.5,12372.0
United States of America,Bachelor,14.0,140000.0
Canada,Bachelor,11.0,83194.0
Brazil,No College,8.0,30240.0
Canada,Bachelor,12.0,78278.0
United States of America,Bachelor,15.0,200000.0
United States of America,Bachelor,11.0,93000.0
United States of America,Bachelor,33.0,115000.0
United Kingdom of Great Britain and Northern Ireland,No College,8.0,142185.0
United States of America,Bachelor,2.0,117000.0
Poland,Master,13.0,39492.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,17.0,116333.0
United States of America,Bachelor,10.0,115000.0
Israel,No College,5.0,91056.0
Netherlands,Bachelor,3.0,42588.0
Spain,Master,3.0,29186.0
India,Bachelor,8.0,36300.0
United States of America,Bachelor,8.0,141000.0
Canada,Bachelor,4.0,60505.0
France,No College,0.5,34591.0
Brazil,Bachelor,3.0,12372.0
Switzerland,Master,12.0,152473.0
United States of America,Master,27.0,150000.0
Germany,No College,15.0,108098.0
United States of America,Bachelor,14.0,152000.0
Canada,No College,2.0,30250.0
United States of America,Bachelor,21.0,146000.0
Israel,Bachelor,12.0,126084.0
Canada,Bachelor,2.0,56723.0
United States of America,Bachelor,3.0,80000.0
Canada,Bachelor,21.0,79413.0
Brazil,Bachelor,10.0,34356.0
United States of America,Bachelor,5.0,120000.0
Germany,Bachelor,3.0,68100.0
United States of America,Bachelor,1.0,24000.0
France,Master,3.0,36753.0
United States of America,Master,5.0,130000.0
United States of America,Master,9.0,106000.0
Netherlands,Master,11.0,91883.0
United Kingdom of Great Britain and Northern Ireland,Master,8.0,96945.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,160282.0
United States of America,Bachelor,2.0,105000.0
Brazil,No College,9.0,10992.0
Canada,Bachelor,16.0,71850.0
Spain,Post Grad,15.0,28536.0
Russian Federation,Bachelor,3.0,18120.0
United Kingdom of Great Britain and Northern Ireland,Master,4.0,56874.0
United States of America,Master,2.0,65000.0
Germany,Master,7.0,58368.0
United States of America,Bachelor,5.0,250000.0
India,Bachelor,3.0,15358.0
United States of America,Bachelor,29.0,135564.0
Canada,Bachelor,7.0,98321.0
United States of America,No College,20.0,160000.0
France,Master,6.0,59454.0
United States of America,Bachelor,3.0,74000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,30.0,46533.0
United States of America,Bachelor,2.0,80000.0
United States of America,No College,17.0,110000.0
United States of America,Bachelor,6.0,140000.0
United Kingdom of Great Britain and Northern Ireland,Master,2.0,49119.0
United States of America,Master,4.0,76000.0
Germany,Master,1.0,58373.0
United States of America,Bachelor,9.0,140000.0
United States of America,Bachelor,3.0,90000.0
United States of America,No College,2.0,34000.0
United States of America,No College,16.0,125000.0
Canada,No College,10.0,60505.0
Spain,No College,17.0,129259.0
Germany,Bachelor,4.0,70264.0
United States of America,Bachelor,30.0,150000.0
United States of America,Bachelor,10.0,168000.0
United States of America,Bachelor,13.0,215000.0
United States of America,Bachelor,5.0,56000.0
Canada,Master,11.0,94539.0
United States of America,No College,20.0,126000.0
France,Master,9.0,33264.0
India,Bachelor,2.0,20943.0
India,Bachelor,4.0,11724.0
United States of America,Bachelor,10.0,135000.0
United States of America,Master,15.0,130000.0
United States of America,Bachelor,4.0,97500.0
Germany,Bachelor,3.0,60535.0
Turkey,Bachelor,11.0,25644.0
United States of America,Bachelor,3.0,70000.0
France,Master,10.0,64859.0
United States of America,Master,5.0,142500.0
India,Bachelor,3.0,12566.0
United States of America,Bachelor,2.0,80000.0
United States of America,Bachelor,3.0,80000.0
Canada,No College,10.0,52942.0
United States of America,Master,10.0,250000.0
France,Master,15.0,71345.0
Germany,No College,4.0,43092.0
United States of America,No College,0.5,55000.0
Brazil,Bachelor,4.0,10992.0
United States of America,Bachelor,10.0,160000.0
Canada,Bachelor,3.0,75631.0
United States of America,Bachelor,8.0,160000.0
United States of America,Master,8.0,115000.0
India,Bachelor,3.0,13962.0
United States of America,Master,10.0,114000.0
United Kingdom of Great Britain and Northern Ireland,Master,2.0,42656.0
United States of America,Post Grad,20.0,90000.0
United States of America,Master,13.0,98000.0
Canada,Master,10.0,67879.0
United States of America,Bachelor,4.0,85000.0
Russian Federation,Master,9.0,72780.0
United States of America,Bachelor,30.0,100000.0
Canada,Bachelor,12.0,58236.0
Canada,No College,12.0,136136.0
Germany,Bachelor,6.0,58373.0
United States of America,No College,25.0,105000.0
United States of America,Bachelor,6.0,78000.0
United States of America,Bachelor,25.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Master,8.0,64630.0
United States of America,Bachelor,7.0,110000.0
Canada,Bachelor,6.0,98321.0
United States of America,Bachelor,4.0,80000.0
United States of America,Bachelor,1.0,70000.0
Germany,Bachelor,7.0,77831.0
United States of America,No College,6.0,140000.0
Brazil,Bachelor,7.0,43980.0
Sweden,Bachelor,6.0,50316.0
United States of America,Bachelor,0.5,76000.0
Germany,Bachelor,13.0,85397.0
France,Master,22.0,48644.0
United States of America,Bachelor,32.0,178000.0
United States of America,Bachelor,6.0,83200.0
Canada,Bachelor,3.0,69581.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,62045.0
United States of America,Bachelor,4.0,50000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,19.0,122796.0
Italy,No College,5.0,32429.0
United States of America,Master,20.0,220000.0
Canada,Bachelor,32.0,94539.0
United States of America,Master,15.0,170000.0
Canada,Bachelor,3.0,41597.0
Spain,Bachelor,7.0,46482.0
United States of America,Post Grad,7.0,150000.0
United States of America,Bachelor,16.0,195000.0
United States of America,Master,28.0,225000.0
United States of America,Bachelor,0.5,60000.0
United States of America,Bachelor,5.0,110000.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,4.0,41363.0
United Kingdom of Great Britain and Northern Ireland,No College,0.5,24172.0
India,Master,5.0,44678.0
United States of America,Bachelor,0.5,50000.0
Canada,No College,15.0,79413.0
Poland,No College,7.0,189844.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,21.0,64630.0
United States of America,Bachelor,5.0,72000.0
United States of America,Bachelor,6.0,155000.0
United States of America,Bachelor,2.0,130000.0
Russian Federation,Master,10.0,35856.0
Spain,Bachelor,17.0,54049.0
Canada,No College,0.5,45250.0
United States of America,Bachelor,11.0,50000.0
Norway,Master,18.0,86316.0
United States of America,Bachelor,2.0,85950.0
Norway,Bachelor,14.0,83744.0
United States of America,Bachelor,3.0,98000.0
India,Bachelor,5.0,14660.0
United States of America,Bachelor,10.0,105000.0
Netherlands,Post Grad,4.0,25944.0
United States of America,Bachelor,3.0,140000.0
United States of America,No College,3.0,90000.0
Germany,Master,3.0,108098.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,67861.0
Russian Federation,Bachelor,10.0,18876.0
United States of America,Bachelor,4.0,140000.0
Germany,Master,15.0,129718.0
Canada,Bachelor,5.0,109665.0
United States of America,Bachelor,3.0,75000.0
United States of America,Master,11.0,160000.0
United States of America,Bachelor,5.0,110000.0
United States of America,Bachelor,5.0,130000.0
Brazil,Bachelor,2.0,11820.0
United States of America,Master,25.0,165000.0
India,Bachelor,1.0,16754.0
